"Comparison","EventType","GeneSymbol","Chromosome","Strand","FDR","DeltaPSI"
"KO_vs_Pos","SE","Arhgef25","chr10","-",0.0157749076950128,0.501
"KO_vs_Pos","SE","Ptpa","chr2","+",0.00717332621202216,0.499
"KO_vs_Pos","SE","Nphs1","chr7","+",2.6742225074304e-06,0.497
"KO_vs_Pos","SE","Cfap74","chr4","+",0.0287241904169604,-0.493
"KO_vs_Pos","SE","Dolpp1","chr2","+",0.0494654817452454,-0.492
"KO_vs_Pos","SE","Zfp426","chr9","-",0.00153409346032648,-0.49
"KO_vs_Pos","SE","Sec22a","chr16","-",0.00539007660267377,-0.49
"KO_vs_Pos","SE","Exoc3l","chr8","-",0.00222107178609301,-0.489
"KO_vs_Pos","A3SS","Prss33","chr17","-",0.0367152994292941,-0.486
"KO_vs_Pos","SE","Tsku","chr7","-",0.0131240475414631,-0.486
"KO_vs_Pos","SE","Oprl1","chr2","+",0.0287560188672122,-0.485
"KO_vs_Pos","SE","Zbtb4","chr11","+",0.0299389161465555,-0.483
"KO_vs_Pos","SE","Lat2","chr5","-",5.95824572397754e-05,0.482
"KO_vs_Pos","SE","Rbm34","chr8","-",0.00644379424258203,0.481
"KO_vs_Pos","SE","Dlg3","chrX","+",2.61320321467655e-05,0.475
"KO_vs_Pos","SE","Serinc2","chr4","-",0.000712677994327977,0.475
"KO_vs_Pos","SE","Pygm","chr19","+",3.27982815345952e-06,0.474
"KO_vs_Pos","SE","1110017D15Rik","chr4","-",0.00163821750761673,0.474
"KO_vs_Pos","SE","Dlst","chr12","+",0.0304546352117028,-0.474
"KO_vs_Pos","SE","Tbc1d31","chr15","+",0.000106817415787864,-0.471
"KO_vs_Pos","SE","5830444B04Rik","chr4","-",0.0188845228838435,-0.469
"KO_vs_Pos","SE","Miip","chr4","-",0.0316880593156139,0.463
"KO_vs_Pos","A3SS","Mir9-3hg","chr7","+",0.0387613338621464,-0.461
"KO_vs_Pos","A5SS","Itgal","chr7","+",0.0373660452020558,0.46
"KO_vs_Pos","SE","Arfgap2","chr2","+",0.00163595983515317,-0.458
"KO_vs_Pos","SE","Pla2g4e","chr2","-",0.0298089616146589,-0.458
"KO_vs_Pos","A5SS","Tcam1","chr11","+",0.000124865953888715,-0.457
"KO_vs_Pos","A3SS","Gas5","chr1","+",0,0.456
"KO_vs_Pos","A5SS","Igsf9b","chr9","+",0.0149452694716838,-0.456
"KO_vs_Pos","A5SS","Gm20544","chr18","-",0.02818798513932,0.456
"KO_vs_Pos","SE","Gfus","chr15","-",0.0339567952055235,0.456
"KO_vs_Pos","SE","Ccdc158","chr5","-",5.24579266750177e-05,0.455
"KO_vs_Pos","A3SS","Slc22a21","chr11","-",0.0113658034291685,0.454
"KO_vs_Pos","SE","Paip2","chr18","+",0.018146330781498,0.454
"KO_vs_Pos","SE","Dcaf8","chr1","+",0.03406776501014,-0.454
"KO_vs_Pos","SE","Ccnd3","chr17","+",1.7115766535903e-06,0.451
"KO_vs_Pos","A3SS","Tango2","chr16","-",0.000129703613722946,0.45
"KO_vs_Pos","A5SS","Bcas3","chr11","+",0.00841528749317618,0.45
"KO_vs_Pos","SE","Smarce1","chr11","-",0.00163601406045991,0.449
"KO_vs_Pos","A3SS","Garin1b","chr6","+",0.00662390842766265,-0.447
"KO_vs_Pos","SE","Dnajb4","chr3","-",0.00062612242886139,-0.447
"KO_vs_Pos","A3SS","C230035I16Rik","chr13","-",0.0158942498428689,-0.446
"KO_vs_Pos","SE","Med8","chr4","+",0.003782684523557,0.445
"KO_vs_Pos","SE","Ep400","chr5","-",6.80006901884247e-05,0.444
"KO_vs_Pos","SE","Clasp1","chr1","+",0.00197540200350367,-0.444
"KO_vs_Pos","SE","Nr2c2","chr6","+",2.34711292076865e-06,-0.443
"KO_vs_Pos","SE","Catsperg1","chr7","-",0.000883079104845052,0.443
"KO_vs_Pos","RI","Gsap","chr5","+",0.000595146049766779,0.442
"KO_vs_Pos","SE","Ccdc33","chr9","-",0.000319540639760557,0.441
"KO_vs_Pos","SE","Lcorl","chr5","-",0.002579713278509,-0.441
"KO_vs_Pos","SE","4933412E12Rik","chr10","+",0.0124966499417081,-0.44
"KO_vs_Pos","SE","Copz2","chr11","+",0.0313067059261892,0.439
"KO_vs_Pos","SE","Mirg","chr12","+",6.13610232534649e-05,-0.437
"KO_vs_Pos","SE","Prmt3","chr7","+",0.00149867706629244,-0.437
"KO_vs_Pos","MXE","Platr26","chr2","+",0.00249109556800089,-0.436
"KO_vs_Pos","SE","Ttc16","chr2","-",0.0117880753710338,-0.436
"KO_vs_Pos","A3SS","4930517G24Rik","chr8","+",0.00907770420629844,0.432
"KO_vs_Pos","A3SS","Ipmk","chr10","+",0.00656465037307512,0.431
"KO_vs_Pos","RI","Slc22a17","chr14","-",0.00657876113308774,-0.43
"KO_vs_Pos","SE","Cttn","chr7","-",0.000129583981912782,-0.43
"KO_vs_Pos","SE","Tuft1","chr3","-",0.00211373787358381,0.43
"KO_vs_Pos","SE","Peak1","chr9","-",4.06021579287155e-06,0.428
"KO_vs_Pos","A3SS","Zfp69","chr4","-",0.0482370709479165,-0.424
"KO_vs_Pos","A3SS","Itga2b","chr11","-",0.0253512962546405,0.422
"KO_vs_Pos","SE","Idh1","chr1","-",0.0137530726785769,0.42
"KO_vs_Pos","SE","Src","chr2","+",0.00183086931521175,0.419
"KO_vs_Pos","SE","Pdlim5","chr3","-",0.000425141976348309,0.417
"KO_vs_Pos","SE","Slc37a3","chr6","-",0.000447017155206141,-0.417
"KO_vs_Pos","A3SS","2500002B13Rik","chr8","+",1.36440285144008e-05,0.416
"KO_vs_Pos","SE","Gnmt","chr17","-",0.000167179310362494,0.416
"KO_vs_Pos","SE","Rian","chr12","+",0.00298803571791187,0.416
"KO_vs_Pos","RI","Gopc","chr10","-",1.80580012350926e-05,0.412
"KO_vs_Pos","SE","Fat1","chr8","+",0.000102992805933064,-0.411
"KO_vs_Pos","SE","Ypel1","chr16","+",0.0424411448873364,0.411
"KO_vs_Pos","SE","Ehmt1","chr2","-",0.00296782271537485,0.41
"KO_vs_Pos","SE","Scn9a","chr2","-",0.00340370551954183,-0.409
"KO_vs_Pos","SE","Iqsec2","chrX","+",0.0197337764387785,0.409
"KO_vs_Pos","SE","Ssbp2","chr13","+",0.000183169972985827,0.408
"KO_vs_Pos","SE","Sfmbt1","chr14","+",7.25512445222756e-06,0.407
"KO_vs_Pos","SE","Crtc2","chr3","+",0.00224594520095958,-0.407
"KO_vs_Pos","SE","1700123M08Rik","chr4","+",1.97759957466565e-05,0.405
"KO_vs_Pos","SE","Skp1","chr11","+",0.000407489725028132,-0.405
"KO_vs_Pos","SE","Irag1","chr7","-",0.000335518293043425,-0.404
"KO_vs_Pos","SE","Dlst","chr12","+",0.0127773925259151,0.401
"KO_vs_Pos","SE","A830011K09Rik","chr6","+",0.00312722693328083,0.4
"KO_vs_Pos","SE","Ceacam1","chr7","-",0.0321405943595933,-0.399
"KO_vs_Pos","SE","Gnb1l","chr16","+",0.0142688127902649,0.398
"KO_vs_Pos","A3SS","Ube2d-ps","chr11","+",0.00179019455343554,-0.395
"KO_vs_Pos","SE","Ica1","chr6","-",6.15927083165023e-06,0.395
"KO_vs_Pos","SE","Gm34086","chr5","+",0.0133462725521537,0.395
"KO_vs_Pos","MXE","Cfap46","chr7","-",0.00103079339025271,-0.393
"KO_vs_Pos","SE","Sema3b","chr9","-",0.000115504269703824,-0.39
"KO_vs_Pos","SE","Oprl1","chr2","+",0.00115744571720679,-0.39
"KO_vs_Pos","SE","Scamp4","chr10","+",0.027189392016413,0.389
"KO_vs_Pos","A5SS","Gas5","chr1","+",0,0.388
"KO_vs_Pos","A5SS","Bvht","chr18","+",6.81853407835569e-05,0.388
"KO_vs_Pos","SE","Racgap1","chr15","-",0.00540852526158646,-0.388
"KO_vs_Pos","SE","Mmaa","chr8","-",0.000672810931687255,0.386
"KO_vs_Pos","SE","Gas5","chr1","+",4.12537782513242e-05,0.384
"KO_vs_Pos","SE","Gstm2","chr3","-",0.000548201683155636,-0.383
"KO_vs_Pos","SE","Gm13563","chr2","+",0.00908888986120178,0.383
"KO_vs_Pos","SE","1110017D15Rik","chr4","-",0.0245002399638679,0.383
"KO_vs_Pos","SE","Apol7d","chr1","+",0.0235747544311779,0.382
"KO_vs_Pos","MXE","Efcab5","chr11","-",0.0287121063483837,0.381
"KO_vs_Pos","SE","Prss33","chr17","-",0.000256489229662428,0.381
"KO_vs_Pos","MXE","Tlcd3b","chr7","+",6.50041468519839e-05,-0.379
"KO_vs_Pos","SE","Paip2","chr18","+",0.0321405943595933,0.379
"KO_vs_Pos","SE","Jpx","chrX","+",0.00151802912132009,0.378
"KO_vs_Pos","A3SS","Srpk2","chr5","-",1.16512252143293e-05,-0.377
"KO_vs_Pos","SE","Akap1","chr11","-",0.046604886420061,0.374
"KO_vs_Pos","A3SS","Atp13a2","chr4","+",0.00436104512020138,0.372
"KO_vs_Pos","SE","Park7","chr4","-",8.40584027467846e-05,-0.372
"KO_vs_Pos","SE","Mcfd2","chr17","-",0.00372972471217789,0.372
"KO_vs_Pos","SE","Gm26947","chr10","+",0.00409789128157079,-0.372
"KO_vs_Pos","SE","Slc18b1","chr10","+",0.018474649759852,-0.371
"KO_vs_Pos","A5SS","Gas5","chr1","+",0,0.37
"KO_vs_Pos","SE","Serbp1","chr6","+",0.00216090842624169,-0.37
"KO_vs_Pos","A3SS","Catsperg1","chr7","-",0.00662390842766265,0.369
"KO_vs_Pos","RI","Sh3glb2","chr2","-",0,0.369
"KO_vs_Pos","SE","BC025920","chr10","+",0.00144907615895651,-0.369
"KO_vs_Pos","SE","Cfap68","chr9","-",0.00149867706629244,-0.369
"KO_vs_Pos","SE","Urgcp","chr11","-",0.0270437149924982,0.369
"KO_vs_Pos","SE","Scamp4","chr10","+",0.0356055431907649,0.369
"KO_vs_Pos","SE","Ccdc97","chr7","-",0.016482485898212,-0.366
"KO_vs_Pos","A5SS","4732471J01Rik","chr7","+",0.014670971739434,-0.363
"KO_vs_Pos","SE","Firre","chrX","-",0.00363686561666364,0.363
"KO_vs_Pos","A3SS","Aak1","chr6","+",0.0415869652433297,-0.362
"KO_vs_Pos","SE","P4ha3","chr7","+",5.14798781185786e-07,0.362
"KO_vs_Pos","SE","Ncoa6","chr2","-",0.0320358944077128,0.362
"KO_vs_Pos","A5SS","Tle2","chr10","+",0.0414046201113172,0.361
"KO_vs_Pos","RI","Gas5","chr1","+",0,0.361
"KO_vs_Pos","SE","Ftx","chrX","-",0.0299886958442834,0.361
"KO_vs_Pos","SE","Dcp1a","chr14","+",0.00801147424508376,-0.36
"KO_vs_Pos","SE","Fam227a","chr15","-",0.0028436593646579,0.359
"KO_vs_Pos","A5SS","Platr14","chr2","+",0.00741575574339737,0.357
"KO_vs_Pos","SE","Nmd3","chr3","+",0.00333856950295371,0.356
"KO_vs_Pos","SE","Xpo6","chr7","-",0.0482661354896272,0.356
"KO_vs_Pos","A3SS","Adamts6","chr13","+",0.0306312929196334,-0.355
"KO_vs_Pos","SE","Synj1","chr16","-",0.00164105145253752,0.355
"KO_vs_Pos","SE","Rcbtb1","chr14","+",0.0185981139204062,-0.354
"KO_vs_Pos","SE","Platr26","chr2","+",0.00164468062079984,0.353
"KO_vs_Pos","A3SS","Esrp2","chr8","-",0.0082231474286384,0.352
"KO_vs_Pos","RI","Gas5","chr1","+",0,0.352
"KO_vs_Pos","SE","Ttc41","chr10","+",1.19039592079788e-05,-0.351
"KO_vs_Pos","SE","Lmbr1","chr5","-",1.18548075497208e-06,0.35
"KO_vs_Pos","SE","Ctnnal1","chr4","-",0.0173921747569441,-0.35
"KO_vs_Pos","RI","Fkbp11","chr15","-",5.55008109659348e-07,0.349
"KO_vs_Pos","SE","F630040K05Rik","chr17","+",3.03431542962118e-05,-0.349
"KO_vs_Pos","SE","Tmbim4","chr10","+",0.00175348013047384,-0.347
"KO_vs_Pos","SE","Samd15","chr12","+",0.00781682057260591,-0.347
"KO_vs_Pos","SE","Tulp4","chr17","+",0.0425383940732944,-0.347
"KO_vs_Pos","SE","Ric8b","chr10","+",0.00171634098666204,0.346
"KO_vs_Pos","SE","Lingo1","chr9","-",0.0219362512750203,-0.345
"KO_vs_Pos","SE","Zbtb32","chr7","-",3.40618377033616e-05,-0.342
"KO_vs_Pos","SE","Btrc","chr19","+",0.00534642900505324,0.342
"KO_vs_Pos","SE","Micu1","chr10","+",0.00624891011595724,-0.342
"KO_vs_Pos","A3SS","Syt17","chr7","-",7.13026888322091e-05,0.341
"KO_vs_Pos","SE","Gm12610","chr4","+",1.40407039370291e-05,-0.341
"KO_vs_Pos","SE","Ago4","chr4","-",0.000607760352161219,0.341
"KO_vs_Pos","SE","1700028K03Rik","chr5","+",0.00402390565726076,-0.34
"KO_vs_Pos","SE","Platr25","chr13","-",0.000683580882918457,-0.339
"KO_vs_Pos","SE","Tab3","chrX","+",0.0169564176545026,0.339
"KO_vs_Pos","SE","Gon4l","chr3","+",0.0139762360783698,-0.337
"KO_vs_Pos","SE","Chrd","chr16","+",6.88780529507652e-05,0.336
"KO_vs_Pos","SE","Catsperd","chr17","+",0.0142864006407545,-0.336
"KO_vs_Pos","SE","Cd59b","chr2","+",0.00146032802858119,-0.335
"KO_vs_Pos","SE","Plekha6","chr1","+",0.00480846093151634,-0.335
"KO_vs_Pos","SE","Gsta3","chr1","+",0.000237585224407376,0.334
"KO_vs_Pos","A3SS","Fbxo24","chr5","-",0.0053525206004487,-0.333
"KO_vs_Pos","SE","Fxr1","chr3","+",1.57336297616982e-05,-0.333
"KO_vs_Pos","SE","Adnp","chr2","-",0.000654433043780686,-0.333
"KO_vs_Pos","SE","Platr25","chr13","-",0.0157037595463934,-0.333
"KO_vs_Pos","SE","Zfp7","chr15","+",0.00030407532372311,-0.332
"KO_vs_Pos","SE","Mx1","chr16","-",0.0211479795485644,0.331
"KO_vs_Pos","SE","Rps24","chr14","+",0,0.33
"KO_vs_Pos","RI","Gm10505","chr17","+",1.64138971074838e-05,0.329
"KO_vs_Pos","SE","Ccdc136","chr6","+",0.00036710143715992,0.329
"KO_vs_Pos","SE","Nadk","chr4","+",0.0140377051729886,0.329
"KO_vs_Pos","SE","Zbtb20","chr16","+",0.0329180442397555,-0.329
"KO_vs_Pos","SE","Nphs1","chr7","+",0.000425094676512354,0.328
"KO_vs_Pos","SE","Gsdmd","chr15","+",1.06890341988725e-13,0.327
"KO_vs_Pos","SE","Pcgf2","chr11","-",0.000484102983642631,0.327
"KO_vs_Pos","SE","Samd13","chr3","-",0.0134849799992651,-0.327
"KO_vs_Pos","MXE","Sp100","chr1","+",0.016548277777086,-0.326
"KO_vs_Pos","SE","Lrrfip2","chr9","+",2.74577993398122e-05,0.326
"KO_vs_Pos","SE","Rpl11","chr4","-",0.040438684468491,-0.326
"KO_vs_Pos","A3SS","Iffo1","chr6","+",0,0.325
"KO_vs_Pos","SE","Nasp","chr4","-",0,0.325
"KO_vs_Pos","SE","Tnk2","chr16","+",7.23755642427545e-05,-0.325
"KO_vs_Pos","SE","Lmntd1","chr6","-",0.000228582414656165,0.325
"KO_vs_Pos","SE","Synj1","chr16","-",0.00527780128984687,-0.325
"KO_vs_Pos","A3SS","Top3b","chr16","+",0.0484789189598482,-0.324
"KO_vs_Pos","SE","Zbtb18","chr1","+",5.96932084010714e-09,0.324
"KO_vs_Pos","SE","Il4i1","chr7","+",0.0370525652840736,0.324
"KO_vs_Pos","SE","Zfp638","chr6","+",0.0493554543877132,0.322
"KO_vs_Pos","SE","Smim8","chr4","-",0.0017615392905177,-0.321
"KO_vs_Pos","SE","Csnk1g1","chr9","+",0.000744528073003468,-0.32
"KO_vs_Pos","SE","Rsrc1","chr3","+",0.000142158099780591,-0.319
"KO_vs_Pos","SE","Gm3667","chr14","+",0.00258785589850432,0.319
"KO_vs_Pos","SE","Lrch3","chr16","+",8.56851739076635e-08,-0.318
"KO_vs_Pos","SE","Cnot2","chr10","-",0.00415354922977867,0.317
"KO_vs_Pos","RI","Uba7","chr9","+",5.11897418087583e-05,0.316
"KO_vs_Pos","SE","Plekha6","chr1","+",0,-0.316
"KO_vs_Pos","SE","Psme3ip1","chr8","-",0.013816691848921,-0.316
"KO_vs_Pos","SE","Crtc1","chr8","-",1.61886586509388e-06,-0.315
"KO_vs_Pos","MXE","2610307P16Rik","chr13","-",0.0110253953802971,-0.314
"KO_vs_Pos","SE","Zcrb1","chr15","-",0.00215598778348523,-0.314
"KO_vs_Pos","SE","Bzw2","chr12","-",5.42924212753913e-05,-0.313
"KO_vs_Pos","A3SS","Ckmt1","chr2","+",7.21868149480835e-05,-0.312
"KO_vs_Pos","SE","Ago4","chr4","-",0.000407623440675808,0.312
"KO_vs_Pos","SE","Duxbl1","chr14","+",0.00606745988085812,-0.312
"KO_vs_Pos","SE","Sft2d1","chr17","+",0.00901927154224351,-0.312
"KO_vs_Pos","A5SS","Prpf38b","chr3","-",0.000746272314165294,0.311
"KO_vs_Pos","RI","Trmt6","chr2","-",0.00329603312000139,0.311
"KO_vs_Pos","RI","Adam8","chr7","-",0.0159946138822584,-0.31
"KO_vs_Pos","A5SS","Trpm3","chr19","+",0.00173953271158194,0.309
"KO_vs_Pos","SE","Psme3ip1","chr8","-",6.4064080563968e-05,-0.309
"KO_vs_Pos","SE","Catsperg1","chr7","-",0.00171486930115991,0.309
"KO_vs_Pos","A3SS","Ppfia2","chr10","+",0.00102368394851195,0.308
"KO_vs_Pos","A5SS","Wnk1","chr6","-",0.000190625577084742,0.307
"KO_vs_Pos","SE","Chrd","chr16","+",0.0118966095542377,0.307
"KO_vs_Pos","SE","Csad","chr15","-",0.035370351594024,0.307
"KO_vs_Pos","SE","Ago4","chr4","-",4.64558257226006e-05,0.306
"KO_vs_Pos","SE","Atf2","chr2","-",0.00182710823321453,0.306
"KO_vs_Pos","SE","Catsperg1","chr7","-",0.0096234372741097,0.306
"KO_vs_Pos","SE","Tia1","chr6","+",1.32846751798796e-07,0.305
"KO_vs_Pos","SE","Gm1976","chr17","-",0.00739388106800075,-0.305
"KO_vs_Pos","SE","Gm26881","chr4","+",0.0186578146917621,-0.305
"KO_vs_Pos","SE","2610307P16Rik","chr13","-",0.0120908853854895,-0.304
"KO_vs_Pos","SE","P4ha3","chr7","+",6.58259150572585e-07,0.303
"KO_vs_Pos","SE","Gm15564","chr16","-",0.000142401249602613,0.303
"KO_vs_Pos","SE","Nufip2","chr11","+",0.00040029272591637,-0.303
"KO_vs_Pos","SE","Epb41l2","chr10","+",2.78827367698804e-12,-0.301
"KO_vs_Pos","SE","Mllt10","chr2","+",0.00121017518146725,0.301
"KO_vs_Pos","RI","Rhpn1","chr15","+",0.0243051298811537,0.3
"KO_vs_Pos","SE","Podnl1","chr8","+",0.00140586729140025,0.3
"KO_vs_Pos","SE","Slc36a1","chr11","+",0.00342556499261232,0.3
"KO_vs_Pos","SE","Hdac7","chr15","-",2.00923121363491e-05,0.299
"KO_vs_Pos","SE","Prss36","chr7","-",0.00031834600963413,-0.299
"KO_vs_Pos","SE","Cenph","chr13","-",0.00150868575834238,0.299
"KO_vs_Pos","SE","Ap1m1","chr8","+",0.00878787459053195,0.299
"KO_vs_Pos","A3SS","Gfus","chr15","-",0.00921553853538256,0.298
"KO_vs_Pos","SE","Isyna1","chr8","+",0.0316602863080817,0.298
"KO_vs_Pos","SE","Cenpf","chr1","-",0.00164341947220267,0.296
"KO_vs_Pos","SE","2610307P16Rik","chr13","-",0.00983581002881915,-0.296
"KO_vs_Pos","RI","Adam33","chr2","-",0.00412722193446589,0.295
"KO_vs_Pos","SE","Icam2","chr11","-",0.000407788045753586,-0.295
"KO_vs_Pos","SE","Limk2","chr11","-",0.0256510198441852,-0.295
"KO_vs_Pos","SE","Zfp58","chr13","-",0.000497738658107874,-0.293
"KO_vs_Pos","SE","Tmem80","chr7","+",0.00440541180579204,-0.293
"KO_vs_Pos","SE","Adam33","chr2","-",0.00904942002019862,-0.291
"KO_vs_Pos","SE","Atf7ip","chr6","+",0.00832141057289344,0.29
"KO_vs_Pos","A3SS","Arfgap1","chr2","+",5.45869196004874e-05,-0.289
"KO_vs_Pos","SE","Fam168a","chr7","+",3.79158748842058e-10,0.289
"KO_vs_Pos","SE","Cab39l","chr14","+",1.76820254783871e-05,0.289
"KO_vs_Pos","RI","2410002F23Rik","chr7","+",0,0.288
"KO_vs_Pos","RI","Tmbim1","chr1","-",0.00246332357032661,0.288
"KO_vs_Pos","SE","Phtf1","chr3","+",0.000862481594354706,0.288
"KO_vs_Pos","SE","Mtf2","chr5","+",0.0121072537817255,-0.288
"KO_vs_Pos","SE","Pphln1","chr15","+",0.013461479125491,-0.288
"KO_vs_Pos","MXE","Oprl1","chr2","+",0.00078784542218544,-0.287
"KO_vs_Pos","SE","Cntn6","chr6","+",0.00043276973528485,0.287
"KO_vs_Pos","SE","Mef2d","chr3","+",0.004687560731137,-0.287
"KO_vs_Pos","SE","Gm5535","chr2","-",0.0142476376514317,0.287
"KO_vs_Pos","A5SS","Egf","chr3","-",0.0241167649599143,-0.286
"KO_vs_Pos","SE","Gm12610","chr4","+",0.000679175475155032,-0.286
"KO_vs_Pos","SE","Gm20756","chr6","+",0.0114979292013014,-0.286
"KO_vs_Pos","A3SS","Clptm1","chr7","-",0.00143582768916304,0.285
"KO_vs_Pos","SE","Tmem147","chr7","-",0.00439880577356792,-0.285
"KO_vs_Pos","RI","Adam33","chr2","-",0.017958201115848,0.284
"KO_vs_Pos","SE","Pcid2","chr8","-",0.00219657840876122,-0.284
"KO_vs_Pos","SE","Cep63","chr9","-",0.0106088596771679,0.283
"KO_vs_Pos","SE","Tmem80","chr7","+",0.0127049799105667,-0.283
"KO_vs_Pos","MXE","Cab39l","chr14","+",1.33651547022288e-06,-0.282
"KO_vs_Pos","SE","Fat1","chr8","+",8.02045099899608e-05,-0.281
"KO_vs_Pos","SE","Zzz3","chr3","+",0.00114160576009317,0.281
"KO_vs_Pos","SE","Nudt13","chr14","+",0.0291658671772269,-0.281
"KO_vs_Pos","SE","Mcu","chr10","-",0.0368598247451309,-0.281
"KO_vs_Pos","SE","Ryr2","chr13","-",0.0339615058553667,0.28
"KO_vs_Pos","RI","Fubp1","chr3","+",0,0.279
"KO_vs_Pos","RI","Tcf12","chr9","-",0.000440796663219793,0.279
"KO_vs_Pos","SE","Dhfr","chr13","+",0.011858182351454,-0.279
"KO_vs_Pos","MXE","Slc22a21","chr11","-",0.016533926554668,-0.278
"KO_vs_Pos","SE","Gm26947","chr10","+",0.000816988733097446,0.277
"KO_vs_Pos","SE","Jpx","chrX","+",0.00163821750761673,0.277
"KO_vs_Pos","A5SS","Mov10","chr3","-",0.0244051943681588,0.275
"KO_vs_Pos","RI","Gnmt","chr17","-",0.0148949569560539,0.275
"KO_vs_Pos","SE","U2af1","chr17","-",3.90088314021797e-05,-0.275
"KO_vs_Pos","SE","Cilp2","chr8","-",0.000450641397832932,0.275
"KO_vs_Pos","SE","Cbx5","chr15","-",0.00459842693973677,-0.275
"KO_vs_Pos","SE","Ywhag","chr5","-",8.50010233221854e-05,-0.274
"KO_vs_Pos","MXE","Elmo3","chr8","+",0.00118861819821498,-0.273
"KO_vs_Pos","RI","Gm14167","chr2","-",0.000964042434111091,0.273
"KO_vs_Pos","RI","Gm20544","chr18","-",0.0019615985546884,0.273
"KO_vs_Pos","SE","Synj1","chr16","-",2.61320321467655e-05,-0.273
"KO_vs_Pos","SE","Senp6","chr9","+",4.72846413310643e-05,-0.273
"KO_vs_Pos","SE","Col11a2","chr17","+",0.00101408681654076,0.273
"KO_vs_Pos","SE","Rhbdl1","chr17","-",0.0323493410035039,-0.273
"KO_vs_Pos","A3SS","H2-K2","chr17","-",0.00505999211300826,0.272
"KO_vs_Pos","RI","Accs","chr2","-",9.29608196982914e-06,0.272
"KO_vs_Pos","RI","Cfap74","chr4","+",0.0218494842035397,0.271
"KO_vs_Pos","SE","Bet1l","chr7","-",0.000295694662504518,0.271
"KO_vs_Pos","SE","Slc9b2","chr3","+",6.54830623952736e-08,-0.27
"KO_vs_Pos","SE","Epb41l2","chr10","+",1.27753607199291e-07,-0.27
"KO_vs_Pos","SE","2700062C07Rik","chr18","+",0.00202624616001669,0.27
"KO_vs_Pos","A5SS","Smim20","chr5","+",0.0373660452020558,0.269
"KO_vs_Pos","SE","Tnip1","chr11","-",2.54022547420014e-07,-0.269
"KO_vs_Pos","SE","Gstm6","chr3","-",0.00107076431698163,-0.269
"KO_vs_Pos","SE","Chpt1","chr10","-",0.0483641062517397,-0.269
"KO_vs_Pos","SE","Pbld2","chr10","+",1.14688800712809e-05,0.268
"KO_vs_Pos","SE","Adam33","chr2","-",0.0101837866805873,-0.268
"KO_vs_Pos","SE","Tuft1","chr3","-",0.0185519924246984,0.268
"KO_vs_Pos","A3SS","Rbpjl","chr2","+",0.000124260113144467,0.267
"KO_vs_Pos","SE","Zfp985","chr4","+",0.0126779969657988,-0.267
"KO_vs_Pos","SE","Exoc3l","chr8","-",0.0128196984794532,-0.267
"KO_vs_Pos","RI","Pcyt2","chr11","-",0,0.266
"KO_vs_Pos","RI","Snrpa1","chr7","+",5.6778335494795e-09,0.265
"KO_vs_Pos","SE","Paip2","chr18","+",6.63719017029227e-06,0.265
"KO_vs_Pos","SE","Rasgef1a","chr6","+",0.0018762251230918,0.265
"KO_vs_Pos","SE","Slc39a3","chr10","-",0.0032619386731018,-0.265
"KO_vs_Pos","SE","Jak3","chr8","+",0.00333856950295371,-0.265
"KO_vs_Pos","A5SS","4930503L19Rik","chr18","-",0.00609132313200711,-0.264
"KO_vs_Pos","SE","Tor1aip2","chr1","+",4.05435097888333e-05,-0.264
"KO_vs_Pos","SE","Cox19","chr5","-",0.0446345238082923,0.264
"KO_vs_Pos","SE","Aco2","chr15","+",0.000140288499758891,-0.262
"KO_vs_Pos","SE","Cdk5rap3","chr11","-",0.0011570844912163,0.262
"KO_vs_Pos","SE","Triobp","chr15","+",0.0351519039915359,-0.262
"KO_vs_Pos","MXE","2610307P16Rik","chr13","-",0,-0.261
"KO_vs_Pos","RI","Tmc4","chr7","-",2.79092179695658e-05,0.261
"KO_vs_Pos","SE","Caprin2","chr6","-",6.55174967715606e-10,0.261
"KO_vs_Pos","SE","Hmgn1","chr16","-",0.0370099079215085,-0.261
"KO_vs_Pos","SE","Elavl4","chr4","-",0.000233435884783063,0.26
"KO_vs_Pos","SE","Spag9","chr11","+",0.00450809770771871,-0.26
"KO_vs_Pos","SE","Mfsd4a","chr1","-",0.0243829410939051,-0.26
"KO_vs_Pos","SE","Paxip1","chr5","-",3.43901230867478e-06,-0.259
"KO_vs_Pos","SE","Fbln1","chr15","+",0.00264194365007435,-0.259
"KO_vs_Pos","SE","Anp32a","chr9","+",0.0470984169249012,0.259
"KO_vs_Pos","SE","Ablim2","chr5","+",0.00507196870557722,0.258
"KO_vs_Pos","MXE","Dennd1a","chr2","-",1.17069616133866e-06,0.257
"KO_vs_Pos","SE","Clasp2","chr9","+",5.28013996162569e-12,0.256
"KO_vs_Pos","SE","Ccdc136","chr6","+",0.00577503543165901,0.256
"KO_vs_Pos","SE","Gm20557","chr3","+",0.00856680113652355,0.256
"KO_vs_Pos","SE","Tulp4","chr17","+",0.0339335321476427,-0.256
"KO_vs_Pos","SE","Pigp","chr16","-",0.00984399685282007,-0.255
"KO_vs_Pos","SE","Foxk2","chr11","+",0.0124997852953824,-0.255
"KO_vs_Pos","SE","Chadl","chr15","-",0.00461403198658605,0.254
